%C3%89va_Tardos,Christos_Papadimitriou
%C3%89va_Tardos,G%C3%A1bor_Tardos
%C3%89va_Tardos,Johan_H%C3%A5stad
Allen_Newell,John_McCarthy_(computer_scientist)
Allen_Newell,John_Tukey
Allen_Newell,Joseph_Kruskal
Allen_Newell,Joseph_Sifakis
Allen_Newell,Joshua_Lederberg
Allen_Newell,Judea_Pearl
Allen_Newell,Juris_Hartmanis
Allen_Newell,Kenneth_E._Iverson
Allen_Newell,Kristen_Nygaard
Allen_Newell,Kurt_G%C3%B6del
Allen_Newell,Leonard_Adleman
Allen_Newell,Leonard_Kleinrock
Allen_Newell,Leslie_Lamport
Allen_Newell,Leslie_Valiant
Allen_Newell,Manuel_Blum
Allen_Newell,Marvin_Minsky
Allen_Newell,Michael_I._Jordan
Allen_Newell,Michael_O._Rabin
Allen_Newell,Michael_Stonebraker
Allen_Newell,Niklaus_Wirth
Allen_Newell,Norbert_Wiener
Allen_Newell,Ole-Johan_Dahl
Allen_Newell,Peter_Chen
Allen_Newell,Peter_Naur
Allen_Newell,Raj_Reddy
Allen_Newell,Richard_E._Stearns
Allen_Newell,Richard_Hamming
Allen_Newell,Richard_Karp
Allen_Newell,Robert_Tarjan
Allen_Newell,Robin_Milner
Allen_Newell,Ron_Rivest
Allen_Newell,Shafi_Goldwasser
Allen_Newell,Silvio_Micali
Allen_Newell,Stephen_Cole_Kleene
Allen_Newell,Stephen_Cook
Allen_Newell,Vint_Cerf
Allen_Newell,William_Kahan
Alonzo_Church,Alan_Turing
Alonzo_Church,Dana_Scott
Alonzo_Church,John_George_Kemeny
Alonzo_Church,Michael_O._Rabin
Alonzo_Church,Stephen_Cole_Kleene
Amir_Pnueli,Adi_Shamir
Amir_Pnueli,Alan_Kay
Amir_Pnueli,Alan_Perlis
Amir_Pnueli,Allen_Newell
Amir_Pnueli,Barbara_Liskov
Amir_Pnueli,Charles_Bachman
Amir_Pnueli,Charles_P._Thacker
Amir_Pnueli,Dana_Scott
Amir_Pnueli,Dennis_Ritchie
Amir_Pnueli,Donald_Knuth
Amir_Pnueli,Douglas_Engelbart
Amir_Pnueli,E._Allen_Emerson
Amir_Pnueli,Edgar_F._Codd
Amir_Pnueli,Edmund_M._Clarke
Amir_Pnueli,Edward_Feigenbaum
Amir_Pnueli,Fernando_J._Corbat%C3%B3
Amir_Pnueli,Frances_E._Allen
Amir_Pnueli,Fred_Brooks
Amir_Pnueli,Herbert_A._Simon
Amir_Pnueli,Ivan_Sutherland
Amir_Pnueli,James_H._Wilkinson
Amir_Pnueli,Jim_Gray_(computer_scientist)
Amir_Pnueli,John_Backus
Amir_Pnueli,John_Cocke
Amir_Pnueli,John_Hopcroft
Amir_Pnueli,John_McCarthy_(computer_scientist)
Amir_Pnueli,Joseph_Sifakis
Amir_Pnueli,Judea_Pearl
Amir_Pnueli,Juris_Hartmanis
Amir_Pnueli,Kenneth_E._Iverson
Amir_Pnueli,Kristen_Nygaard
Amir_Pnueli,Leonard_Adleman
Amir_Pnueli,Leslie_Lamport
Amir_Pnueli,Leslie_Valiant
Amir_Pnueli,Manuel_Blum
Amir_Pnueli,Marvin_Minsky
Amir_Pnueli,Michael_O._Rabin
Amir_Pnueli,Michael_Stonebraker
Amir_Pnueli,Niklaus_Wirth
Amir_Pnueli,Ole-Johan_Dahl
Amir_Pnueli,Peter_Naur
Amir_Pnueli,Raj_Reddy
Amir_Pnueli,Richard_E._Stearns
Amir_Pnueli,Richard_Hamming
Amir_Pnueli,Richard_Karp
Amir_Pnueli,Robert_Tarjan
Amir_Pnueli,Robin_Milner
Amir_Pnueli,Ron_Rivest
Amir_Pnueli,Shafi_Goldwasser
Amir_Pnueli,Silvio_Micali
Amir_Pnueli,Stephen_Cook
Amir_Pnueli,Vint_Cerf
Amir_Pnueli,William_Kahan
Andrew_Chi-Chih_Yao,Adi_Shamir
Andrew_Chi-Chih_Yao,Alan_Kay
Andrew_Chi-Chih_Yao,Alan_Perlis
Andrew_Chi-Chih_Yao,Allen_Newell
Andrew_Chi-Chih_Yao,Amir_Pnueli
Andrew_Chi-Chih_Yao,Barbara_Liskov
Andrew_Chi-Chih_Yao,Charles_Bachman
Andrew_Chi-Chih_Yao,Charles_P._Thacker
Andrew_Chi-Chih_Yao,Christos_Papadimitriou
Andrew_Chi-Chih_Yao,Dana_Scott
Andrew_Chi-Chih_Yao,David_S._Johnson
Andrew_Chi-Chih_Yao,Dennis_Ritchie
Andrew_Chi-Chih_Yao,Donald_Knuth
Andrew_Chi-Chih_Yao,Douglas_Engelbart
Andrew_Chi-Chih_Yao,E._Allen_Emerson
Andrew_Chi-Chih_Yao,Edgar_F._Codd
Andrew_Chi-Chih_Yao,Edmund_M._Clarke
Andrew_Chi-Chih_Yao,Edward_Feigenbaum
Andrew_Chi-Chih_Yao,Fernando_J._Corbat%C3%B3
Andrew_Chi-Chih_Yao,Frances_E._Allen
Andrew_Chi-Chih_Yao,Fred_Brooks
Andrew_Chi-Chih_Yao,He_Jifeng
Andrew_Chi-Chih_Yao,Herbert_A._Simon
Andrew_Chi-Chih_Yao,Ivan_Sutherland
Andrew_Chi-Chih_Yao,James_H._Wilkinson
Andrew_Chi-Chih_Yao,Jim_Gray_(computer_scientist)
Andrew_Chi-Chih_Yao,John_Backus
Andrew_Chi-Chih_Yao,John_Cocke
Andrew_Chi-Chih_Yao,John_Hopcroft
Andrew_Chi-Chih_Yao,John_McCarthy_(computer_scientist)
Andrew_Chi-Chih_Yao,Joseph_Sifakis
Andrew_Chi-Chih_Yao,Judea_Pearl
